,0,1,2,3,4,5,,Ps,Ps(1-mu)/(1-muPs),,(SPsMu-SI)/SI,SPs(1-Mu)-SA)/SA,,SA|SI -SA)/SA
115,402813.3932,33938.24373,14544.9616,1563.081053,669.89188,2348.143389,,,,,,,,
116,400580.4203,33153.1814,14208.50631,1518.363367,650.7271571,2293.532874,,,,,,,,
117,398411.3297,32378.01189,13876.29081,1474.743315,632.0328492,2239.628786,,,,,,,,
118,396304.5536,31613.12642,13548.48275,1432.207861,613.8033692,2186.457126,,,,,,,,
119,394258.5423,30858.87715,13225.23307,1390.742942,596.0326896,2134.041231,,,,,,,,
120,392271.7667,30115.57886,12906.67666,1350.333585,578.7143937,2082.401879,,,,,,,,
121,390342.7187,29383.51057,12592.9331,1310.963996,561.8417124,2031.557387,,,,,,,,
122,388469.913,28662.91718,12284.10736,1272.617695,545.4075836,1981.523754,,,,,,,,
123,386651.8877,27954.01112,11980.29048,1235.277617,529.4046929,1932.314773,,,,,,,,
124,384887.2054,27256.97396,11681.56027,1198.926165,513.8254994,1883.942107,,,,,,,,
125,383174.4538,26571.95802,11387.98201,1163.545332,498.6622853,1836.415444,,,,,,,,
126,381512.2461,25899.08791,11099.6091,1129.116765,483.907185,1789.742589,,,,,,,,
127,379899.2222,25238.46209,10816.48375,1095.621828,469.552212,1743.929552,,,,,,,,
128,378334.0482,24590.15436,10538.63758,1063.041683,455.5892927,1698.980684,,,,,,,,
129,376815.4172,23954.21536,10266.0923,1031.357344,442.0102905,1654.898764,,,,,,,,
130,375342.0495,23330.67394,9998.860261,1000.549729,428.8070266,1611.685083,,,,,,,,
131,373912.6928,22719.53859,9736.945109,970.599711,415.9713047,1569.339564,,,,,,,,
132,372526.1218,22120.79873,9480.342314,941.4881684,403.4949293,1527.860843,,,,,,,,
133,371181.1387,21534.42606,9229.03974,913.1960219,391.3697237,1487.246344,,,,,,,,
134,369876.5729,20960.37574,8983.018173,885.7042732,379.5875457,1447.492391,,,,,,,,
